feature,importance
100,0.01087757609848606
195,0.009350640994132135
245,0.00928954584328463
316,0.009147766649795507
507,0.007982024287886937
403,0.007384452290771698
434,0.006871747320792102
117,0.006442958995567475
192,0.00630656388273003
377,0.006116343232098247
250,0.00607194099054723
121,0.005614376145599982
499,0.005055329060314957
293,0.005046250430806554
202,0.004849037977760231
477,0.00478489458219949
7,0.004548236799916858
74,0.004548108985374879
443,0.0045335456622829055
470,0.004528117707100739
162,0.0044958210262262665
306,0.004361606158463467
490,0.004196864083928651
310,0.004064229922743068
320,0.004060217647184076
28,0.003964861131638368
276,0.003948193127419316
5,0.0039030114218441157
312,0.0038381217093411972
455,0.0037876935574172894
193,0.003618643698316677
181,0.003616680610298926
318,0.003578747990811813
234,0.0035127309194132998
239,0.0032508999127427683
29,0.003215660611804581
439,0.0032023526864298803
487,0.003170883123332917
40,0.0031343913224501506
292,0.00311444298072497
362,0.0030837877322350145
261,0.0030756560191869055
432,0.0030733635597020477
256,0.0030393454973544187
237,0.002994967426040242
133,0.0029593193943095644
390,0.002946941992198494
54,0.002907173272985672
59,0.002846413825462833
115,0.002839186982141398
426,0.002827101917902324
321,0.0028139296458400812
20,0.0028064343737475668
88,0.002744667703381309
41,0.00262288788372138
466,0.0025208772300312644
279,0.002514090010207221
436,0.0025050974203630334
130,0.0024983055388766297
482,0.0024803582341576826
296,0.0024745493443080048
123,0.0024590784580188086
268,0.002453530907985531
472,0.0024521612510898473
510,0.0024200175321768824
152,0.0024040715250306928
315,0.0023827770046321826
177,0.00237434435692427
160,0.002368015913582028
102,0.0023435266538253422
374,0.0023341789997506548
269,0.0023319797981212554
222,0.002315908790756054
147,0.002299794099746742
363,0.0022953839126660523
417,0.002294116336302831
124,0.002273786084586689
25,0.0022729804761865537
468,0.0022683602008644515
4,0.002246019534203862
50,0.0022284895039154278
110,0.0021976516705045266
210,0.002192934295674127
175,0.002191335933417507
300,0.0021811784654517472
356,0.0021774694794588836
16,0.0021767376577156603
332,0.002171337686609842
387,0.0021565978656762647
270,0.002146690559135774
265,0.0021357439637690765
52,0.002131047648584754
96,0.0021217787227801764
168,0.0021181469667277695
188,0.0021145011205461546
145,0.0021108766838298467
119,0.0021104593106729542
379,0.002103225715354623
87,0.002100818899609831
186,0.0021003772711531477
461,0.0020881182739006473
508,0.0020774365932419935
503,0.0020729530328220534
366,0.0020729026356773707
274,0.0020669316361238157
89,0.0020603174269113035
11,0.0020587162055927884
213,0.002055348467983173
141,0.0020536137158040316
51,0.002051618697767069
352,0.002050805022371287
255,0.0020450921121697844
113,0.002030710118276099
248,0.0020295906538450336
488,0.0020238729564612855
369,0.002014751913505735
471,0.0020112349043059966
317,0.0020067869709053626
215,0.002004960545450288
77,0.0020023589521134294
230,0.0019951740699626387
46,0.001988173442531495
69,0.001981407475455942
140,0.001979441638504645
144,0.001971464276479116
400,0.0019677955181113785
398,0.0019673915857023774
335,0.0019611268905463885
344,0.001960621553158927
371,0.00195646303214058
372,0.0019558150786207935
260,0.0019506831173221192
36,0.001929331321670739
419,0.0019273539306779658
95,0.0019247361355792185
314,0.001922484581616403
262,0.001913963962155912
176,0.0019110573090940731
309,0.0019020194072861963
267,0.0019011829808932854
325,0.0019008481826673519
42,0.001900597615826688
389,0.0018939678686246575
30,0.001892553506220876
0,0.001891943158462776
14,0.001889901260862369
81,0.0018854332479379273
94,0.0018787693594789572
464,0.001875913612809816
159,0.0018755392080210542
9,0.0018737768392415829
6,0.0018727933966776464
85,0.0018690080179500548
39,0.001864550092815419
465,0.0018548610579156705
150,0.001853304826448748
137,0.0018528789140831183
244,0.0018505654863852422
357,0.0018334235934894048
114,0.0018303263253347383
497,0.0018158961067142585
336,0.001815254507893879
200,0.0018151399025762122
225,0.0018144556797941858
26,0.0018112202194285484
187,0.0018111711950110057
284,0.001804438515450685
103,0.00180067058849669
207,0.001799684472887407
376,0.0017983946686283211
359,0.0017979012178121181
205,0.0017925404950600821
75,0.0017892587264582225
62,0.0017881095663892321
174,0.00178773289193772
214,0.0017814332578165927
350,0.0017800762877943242
173,0.001777680565180119
495,0.001776082568607588
91,0.001775001006493788
184,0.0017604978534237993
313,0.0017592999581406193
80,0.0017589144674232773
281,0.001757234724562308
288,0.0017554761231064425
211,0.0017550095721796792
287,0.0017546022587220142
447,0.0017467003315013755
27,0.0017453307631704986
448,0.0017419874461145413
178,0.0017407444285461443
170,0.001734430483646931
53,0.0017289591439287597
489,0.0017263057646496093
198,0.0017194109933047865
34,0.0017147768405903353
146,0.0017127221660491237
295,0.0017065466030731524
382,0.001702699259752832
305,0.0017019452337762625
197,0.0017011763533055222
209,0.0016960557422726389
90,0.0016947076389657071
165,0.0016915239291250626
180,0.0016908498338685492
55,0.0016899473071319083
151,0.0016895688424961024
500,0.0016891727637179724
73,0.0016890519478611951
423,0.001687234479310678
496,0.0016860392645096508
282,0.0016853042962217653
451,0.0016828818666840444
308,0.0016794181456671253
138,0.001679054247655243
98,0.0016767863587134348
449,0.0016755002281094206
2,0.0016733331046511228
116,0.0016731091849576615
418,0.0016728268604068847
24,0.0016726397795751521
104,0.0016705485018961442
414,0.0016672470820779989
120,0.001666065573791328
189,0.0016659954918129016
381,0.0016589073007297072
478,0.0016575747471765604
156,0.001656686729190368
63,0.001648975651449715
1,0.0016457053406000116
148,0.001643190898748843
231,0.0016421443751578279
112,0.0016415747084834722
458,0.001641303704297744
341,0.001640444129485478
450,0.0016371880250909679
294,0.0016370123998138862
249,0.001635825722233958
340,0.001630801703576161
163,0.0016279945081514133
304,0.001623594234959758
462,0.0016224689725868346
326,0.00162225790837991
220,0.0016194312239769509
438,0.0016193305842791344
441,0.0016167855982134464
157,0.0016160130423471721
385,0.0016155899393007877
421,0.001613740260608872
107,0.0016121032892043496
17,0.0016066830097897146
444,0.0016060703301659987
429,0.0016058933384926167
56,0.0016024877446193595
33,0.001601318670176485
101,0.0015997825418942791
365,0.0015937039439607539
392,0.0015927416828170628
333,0.0015910086908832285
15,0.0015909487293377315
132,0.0015906944537548465
136,0.00158969342594996
232,0.0015893989119967827
185,0.0015882320265485717
226,0.0015854968181925608
493,0.0015813674221673455
368,0.0015812903378903775
208,0.0015809023670942416
58,0.001579893548672499
413,0.0015774244215152004
35,0.0015768079028469443
409,0.0015738617089748222
476,0.001573239254547262
257,0.001572396373155309
391,0.0015703016892818563
212,0.0015692598006826607
460,0.0015687808279455989
263,0.0015675668931905992
303,0.0015674855544839223
167,0.001567357473294536
149,0.0015640559605079964
221,0.0015613822520298332
65,0.0015586090480590347
442,0.0015583785557120233
68,0.0015570858818872166
43,0.0015562792419435891
511,0.0015556892983247868
501,0.0015546178334681282
323,0.0015543720820871056
203,0.0015532784525988388
111,0.0015532768477386314
135,0.0015490510236581437
280,0.0015484164113362515
406,0.0015482659589260094
196,0.0015476476263242866
397,0.0015476080028338324
485,0.0015473046241999285
57,0.001546341477056177
272,0.001546300157444346
37,0.0015446206749294617
431,0.0015420916565388452
345,0.0015412654643478221
139,0.0015392880750213298
386,0.0015388512773198471
99,0.0015387276154148024
129,0.0015382899168986041
229,0.0015373685526645922
45,0.0015369130401611663
445,0.001535497314436226
367,0.001533464160185275
219,0.0015311989705222883
216,0.0015305577986292106
428,0.0015294113289631825
238,0.0015293469354002475
420,0.001527804683812648
72,0.001527131764964936
259,0.0015238039977783393
328,0.001521233674490743
142,0.0015208158233703931
446,0.0015187784184161257
324,0.001516196010057335
373,0.0015154309664544602
199,0.0015148979297627844
337,0.0015148027454217055
3,0.0015143736132881204
349,0.0015141847885258367
172,0.0015130067835974646
254,0.001512635267846839
358,0.00150946720906133
302,0.0015091250979438705
405,0.001509122704683591
61,0.0015084245690136948
108,0.001507336970189726
218,0.0015065756029193065
228,0.0015063657933211557
491,0.0015055329349010224
122,0.001504411207374818
354,0.0015015532246648302
171,0.0015012878125271272
182,0.0015010198222308907
278,0.0014981161342582162
338,0.0014979586399079088
158,0.0014975151348445498
31,0.0014975078815164704
241,0.0014972587882641263
109,0.0014963980802494945
19,0.0014924947838838613
494,0.0014900225241055054
84,0.0014887283117761036
235,0.0014879497263410302
492,0.0014878865541534296
