feature,importance
149,0.002634657658435458
456,0.0023530011401813673
263,0.0023375418683490913
660,0.002267641315897825
516,0.0021261836448612536
546,0.002123539551717594
382,0.0021029151952841633
17,0.002091588379982448
309,0.002071236622307551
185,0.0020313618732650945
299,0.0020239204676745642
545,0.00200408276967797
81,0.0020026068054950176
244,0.0019602052004269966
138,0.001920331073372406
21,0.0018891379157076932
519,0.0018885160912827962
307,0.0018752970254543387
572,0.001871859206488348
45,0.001855846286928542
223,0.001842599412356904
98,0.0018362957900304147
508,0.001823201475563351
644,0.0018056491946873273
132,0.0017922359786166544
314,0.0017868492423656899
206,0.0017851867514759193
507,0.0017850465590450945
671,0.0017535257636430595
480,0.0017329660041501833
361,0.0016902515286764742
177,0.001675811900495856
583,0.0016683165865566387
333,0.0016491599219352177
119,0.0016372211716460243
322,0.0016371759865987118
229,0.0016355264370462616
433,0.001633534552119489
505,0.0016328465321240931
698,0.0016313145722643319
446,0.0016184570260105425
544,0.0016115912085134876
405,0.0016032098006815891
198,0.0016028258996503284
91,0.0016020773533511575
696,0.001595523317512965
310,0.0015885313249305955
107,0.0015785899582406219
596,0.0015782889520109889
93,0.0015762350862173662
735,0.0015721937581546317
331,0.0015673337678033723
450,0.001567144392622815
564,0.0015568217608754073
130,0.0015477536306149314
43,0.001542621342427311
485,0.0015418679934680506
323,0.0015313012999931361
29,0.0015249711506827761
47,0.0015149521582803033
604,0.001514200027843537
38,0.0015109560855607457
32,0.0015078825079200412
187,0.0015059234316449762
463,0.0015025883544873139
360,0.001500174698425595
600,0.0014955013495838842
748,0.00148320849502366
212,0.0014799858805683156
444,0.0014797863783885942
662,0.0014795875040155418
96,0.0014778181203555197
453,0.0014769567322105315
154,0.0014763990842221872
112,0.0014724778065153682
171,0.00146802273173832
411,0.0014602706723273078
303,0.0014599851323510607
750,0.0014569674405541192
504,0.0014569067236535073
57,0.001452908813353321
279,0.0014524371479443686
766,0.001452333000208611
703,0.001452160333261349
479,0.0014520211129283827
10,0.0014488867022392784
153,0.0014487547980099192
570,0.0014487380007867554
74,0.0014485554590027425
366,0.0014463583793760352
599,0.0014430732369054573
371,0.001442972585309468
575,0.0014396966930785562
702,0.001438508219352409
757,0.001438215940332562
498,0.001437689043350382
13,0.0014339885944739366
158,0.0014329315612373386
117,0.0014310173110118943
573,0.0014309950784441843
346,0.0014292537093078472
77,0.0014283541001069058
597,0.0014280540349248306
626,0.0014279623002280584
28,0.0014261784239956662
24,0.001425646667654118
88,0.0014253390185421288
176,0.0014230762528301293
5,0.0014206673089084548
594,0.0014201475480718772
69,0.001417065729275182
120,0.0014165461497092503
428,0.001415334274530439
52,0.0014125186523739235
680,0.0014118166051864322
106,0.0014115105112741644
449,0.0014113736856741714
165,0.0014110778326164933
