feature,importance
337,0.004415664520318793
277,0.004042650463854754
526,0.003970775053485133
573,0.003335864692874159
296,0.003178628742734271
209,0.0031235213880353445
611,0.0030118648951839425
493,0.0029804542603718096
749,0.0028839593974282996
261,0.0027148692581690777
331,0.002672035505394549
398,0.0026042080125216094
513,0.002582346115623801
130,0.002531933325434766
494,0.0024737955145405104
517,0.002456103156265584
38,0.0024340576269986382
325,0.002358178890526681
425,0.0023418412494162345
748,0.002324021114168299
157,0.0022992098201724
117,0.002260398118428195
587,0.0022475398734154274
752,0.0022166977991239104
170,0.002200453093197724
747,0.002178808277313227
83,0.0021180380686582605
544,0.0020938528729676164
355,0.002055085633996635
177,0.002038908379992997
597,0.002018072884684775
85,0.001965372382002075
271,0.0019543198220053084
70,0.0019404647936957905
656,0.0019364583133008523
319,0.001924900666011852
663,0.0019248029207266815
46,0.0019219809901097923
274,0.0019035937341298481
446,0.0018954667496037245
698,0.0018882005032142143
189,0.0018609800507869484
363,0.0018558935279018216
225,0.0018477753138527208
118,0.0018256955711968617
387,0.0018078847260458567
22,0.0018077241509792718
589,0.0018044142647572938
158,0.0017993545289681709
187,0.0017968501245113893
71,0.0017955617892078163
80,0.0017817934772212272
7,0.0017801318793542336
481,0.0017662993104600115
359,0.0017439084764497381
461,0.0017172944871387621
459,0.0017125875985892986
381,0.0016936821567775202
620,0.0016845915876622516
580,0.0016734418780742736
28,0.0016669262906864055
43,0.0016612574634255117
114,0.001656783201048311
230,0.0016529114284862115
556,0.0016435282861582024
594,0.0016298236169531627
600,0.0016283082591419412
272,0.001627249737994758
373,0.0016262708406730474
406,0.0016202315352444672
190,0.0016090072869533484
372,0.0016054680096444843
356,0.0016051853388248647
527,0.001600475917617009
137,0.00159797038915872
725,0.0015903369317619587
500,0.001585362367532102
760,0.001584615183550448
677,0.001584505580074045
238,0.0015843220844490497
442,0.0015757942660033649
17,0.0015731716632997978
334,0.0015726027756276346
160,0.0015684724774773884
726,0.0015570033769171318
666,0.0015507690840421892
484,0.0015474446534569405
563,0.0015408391529064642
215,0.0015317160321094002
107,0.0015237386241008844
41,0.0015207864884962086
548,0.0015162076099887673
531,0.0015153638668563179
349,0.0015124378924299586
599,0.0015056909834535368
623,0.001505266356746848
78,0.0015044872520834115
655,0.001499848914887748
661,0.0014941043492400893
434,0.0014892200412185328
421,0.0014867896652959592
302,0.0014860074969996956
206,0.0014794411245034951
33,0.001474962336501773
382,0.0014709133992426107
51,0.001470407374252522
593,0.001467803298720329
743,0.001463811982966229
218,0.0014616902853389934
291,0.001454177940002537
161,0.001453792014213365
507,0.0014537229969318523
300,0.0014536552968179245
395,0.0014494433091922882
304,0.0014482819638344626
10,0.0014472177872282617
54,0.001441704334154822
