feature,importance
795,0.022515519540816088
182,0.01419001133060089
787,0.010818366909212973
726,0.009076994333424406
972,0.008961976675046083
148,0.008199209497886878
623,0.007823673858611406
73,0.007686406234415292
862,0.007655872752984145
552,0.007625633791787332
136,0.007494708248053322
342,0.007312892576929603
310,0.007255503175252095
806,0.007010201730563406
15,0.0070009918601500855
998,0.0065482950832229155
996,0.006344184106823022
13,0.006288057266567341
917,0.005839482069756557
774,0.005782837261305568
507,0.005678967774979603
227,0.005592493977526651
621,0.005582730913251351
518,0.0054903627325446494
796,0.0054599607889682655
442,0.005457706520997466
948,0.005418455379429886
118,0.005325473730538785
311,0.005320272280877063
766,0.005063875260448517
290,0.004994042858352232
649,0.004664212225262142
890,0.0045449736212166345
818,0.004056669878455277
440,0.00395627716659168
165,0.003783856819679307
508,0.0036524372367282482
132,0.003634398879744526
503,0.003598552898286887
549,0.0035701277317999793
844,0.003382284347693606
760,0.0033440652231514845
856,0.0033434424461446432
618,0.0033392718362975065
718,0.003337815428679881
947,0.0033022468467740662
737,0.003296286190350737
962,0.0032081410660572663
1005,0.0031885189146340226
218,0.0030950931821198953
472,0.003070824937826545
169,0.002982724008478436
341,0.00298173425330163
72,0.0029297110710617834
958,0.002883655015849469
333,0.002838773829212765
708,0.0028275598257010096
251,0.0028213723875106706
575,0.0027985679974279914
670,0.002738655902610469
685,0.0026896120980528754
680,0.0026514789334456507
817,0.002626339589453226
543,0.0025646988923263363
860,0.0024906611585216263
807,0.0024360028690668953
272,0.0023737607442414405
1022,0.0023722890759080256
886,0.002336518902814848
243,0.002331684637795481
647,0.002287034220170162
283,0.0022574057465545947
1019,0.0022306921236806884
465,0.0022212379807222704
343,0.002174482942342217
714,0.0021620957304241697
588,0.0021581733846560295
871,0.0021446280412283974
768,0.0021433877124431852
197,0.0021428266352566854
55,0.002105959959501625
897,0.0021056047419033123
18,0.0020996276176300454
212,0.0020984696172948692
324,0.00207792159623646
57,0.002055041312079481
900,0.0019739480736408826
299,0.0019707038703742014
205,0.0019689061038481743
141,0.0019287620517517046
478,0.0018840351352128768
943,0.0018665481898392697
600,0.0018571144190968438
273,0.001842542627185144
1014,0.001840770545893466
500,0.0018331967203092858
902,0.0018242558001163988
393,0.0018087121409048987
153,0.001806242654843635
779,0.0017746880158024281
601,0.001756310334435888
294,0.0017478119244027342
960,0.0017446484363225765
56,0.001724391456329479
800,0.001717722250133823
451,0.001711594549211896
997,0.0016856516590355107
616,0.0016846393580424279
185,0.0016639775797587448
296,0.0016280103053530673
419,0.0016189916720620121
634,0.0015763990536369192
811,0.0015586750527017603
759,0.0015450446010351407
624,0.0015335647768122875
848,0.0015165013120896063
814,0.0015152599328518374
661,0.0015094067148765627
725,0.001499743281349786
394,0.0014773043983080578
835,0.0014387132475185563
250,0.0014322048198948877
929,0.0014199692384559168
990,0.0014188106513101334
667,0.0014065071579891758
606,0.0013795486977945255
513,0.0013716707214408797
42,0.001356965109824168
123,0.0013510689854015648
740,0.0013468687754810244
262,0.0013467415758172618
427,0.0013376291771261403
180,0.0013247460192213597
876,0.0013167188018698142
88,0.0013136032504630156
256,0.001313317224446624
239,0.0013077246349237424
464,0.0013038768194191235
1007,0.001281387268284543
495,0.0012765785285595683
802,0.0012693931209848922
189,0.0012641916901450993
707,0.0012638229559538275
880,0.001263377052059153
492,0.0012472845804082117
882,0.0012400539900982996
1004,0.0012199429313205805
351,0.0012170946208579865
701,0.0012166820589049189
663,0.0012034739065228028
39,0.0012010045884758907
284,0.001200869931929598
669,0.0011936485710222445
258,0.0011914082610702942
44,0.0011908945935627422
238,0.001188219751912707
731,0.0011776141909742603
171,0.0011701253074384087
298,0.0011664755161483978
242,0.0011583724168602422
615,0.0011559662763004103
619,0.0011531308746231823
137,0.0011497851584389596
976,0.001146639372513705
279,0.001143890803751596
46,0.0011391991135971079
319,0.0011375129361263772
689,0.001132376405973244
129,0.001115342917175225
781,0.0011073270529749302
989,0.0011009197719435032
411,0.001099787391088579
529,0.0010926085191406616
907,0.0010765575724686672
40,0.0010734496699750554
233,0.0010684520781119714
474,0.0010664858850164263
659,0.0010661432128683582
71,0.0010652490505138237
868,0.0010628282053823876
325,0.0010583696170864188
97,0.001055006495708962
934,0.0010471896412906048
874,0.001042795717970269
841,0.0010376608389408382
368,0.0010367361295054525
257,0.0010309716987769424
1023,0.0010284451937392256
362,0.0010207257445268435
494,0.001019542941507612
849,0.0010164253449268608
922,0.00101516133295163
47,0.0010132946217602718
160,0.0010048279213514541
274,0.0010041935777277688
306,0.0010035543670533838
131,0.001001851119388864
83,0.0009932663333167909
993,0.0009814069412900014
992,0.0009792106313878917
933,0.0009778992224444166
82,0.0009778779461786734
68,0.0009760498432779438
226,0.0009715385292527676
650,0.0009712000327213379
834,0.0009662806426212859
27,0.0009658581262338463
789,0.0009656023096991054
899,0.0009651229314174764
576,0.0009619961157693228
682,0.0009592540541009169
847,0.000958877718489932
717,0.0009550261556435378
855,0.0009498662416346057
