feature,importance
466,0.023761616024381406
250,0.018803618429315903
133,0.016580307628636534
503,0.01486719684216763
245,0.01455204525889604
234,0.013727291003066872
439,0.013465381814187676
432,0.01287828462861233
38,0.011785731908995359
121,0.011365282829977454
181,0.011127723543406975
5,0.010202315616768981
88,0.010173922734955496
507,0.009778093630888052
379,0.008933968223148151
177,0.008889197318835225
256,0.008873687849405005
192,0.008317607253973491
57,0.007888147070183616
260,0.007812550159618199
511,0.007523551356893361
39,0.007168139190278251
429,0.006900678450673864
352,0.006243743376147297
461,0.006088807620976372
293,0.006062072579961424
206,0.005972557080318811
372,0.005829896527492836
26,0.005416314283779025
365,0.005216416259871224
281,0.005076606303586046
443,0.0050148543395861275
471,0.0049930336062041555
276,0.004942190662359878
377,0.004922355793996977
313,0.004917472054178833
114,0.0048941449253338725
390,0.004709093291314458
162,0.0046321799727005305
470,0.004398410940564548
292,0.004346080101195163
6,0.004274130572431885
50,0.004125276034711668
33,0.004001593623613851
482,0.003959134389199957
465,0.0039565300463909004
310,0.0038973556366347028
222,0.003878956418885299
451,0.0037418648314092116
268,0.003703064280275136
275,0.0035644530442085804
160,0.0033944043501851697
124,0.003383537337574962
450,0.00325422048063431
193,0.0032034355168843766
362,0.0031815482938284526
89,0.0031283127985370467
203,0.003118241108065703
350,0.0031015420762685888
189,0.002972406030873649
318,0.002964431404265031
28,0.00291205793494207
312,0.002861864450794745
53,0.0028526928796896328
184,0.002831106654489605
56,0.002791464361859726
175,0.0027080116224385263
215,0.002668224980869201
314,0.002661901393140487
168,0.0026325972245819064
426,0.002627486633165291
213,0.0025925360786943187
408,0.0025671163700702227
449,0.0025404162547679205
249,0.0025256485040365405
354,0.0025207352320970873
255,0.0024588061673658014
477,0.002412881639776348
486,0.0024118578552895596
300,0.0024101469712136166
178,0.0024030635226530745
117,0.0023707422091636997
105,0.0023243740968535843
29,0.002313090165698886
95,0.0022561519003954857
387,0.002243207634718319
366,0.002233921531292662
487,0.0022194679576322267
333,0.002190743993946802
306,0.0021710465483446716
123,0.0021656113931193283
99,0.0021511636737897694
500,0.0021487660529710757
65,0.002123023821125505
145,0.002096986205673715
436,0.002086678786224187
334,0.002084328282426518
54,0.0020749173622566443
93,0.0020568560636337347
74,0.002042075656639602
63,0.0020390740375000257
14,0.0020121496544828464
75,0.002009016906509234
13,0.0019793060734765804
363,0.0019763939469238313
274,0.0019671567385422615
389,0.0019191287294077486
283,0.0019081614830328433
284,0.0019038243896504342
195,0.0018693551471466988
267,0.001862830028844778
90,0.0018626317147742147
398,0.0018343136788610045
170,0.001832290714224887
311,0.0018254328509307168
380,0.001822283919962754
253,0.0018213093539627887
396,0.0018146685718081076
501,0.001808383810309403
357,0.0017873266653754914
7,0.0017810499976996124
264,0.0017795516688340173
430,0.0017565513395175919
167,0.001752072501266188
180,0.001743793790329667
154,0.0017384832390998064
152,0.0017072517687387286
59,0.0016805766227928583
164,0.0016801640183503749
52,0.0016753964765237874
304,0.0016733888618337084
44,0.0016715138116939448
321,0.0016600114372642453
46,0.0016468710961466278
409,0.0016342406498200204
30,0.0016297359399734038
332,0.0016282440730251188
376,0.0016033545538742574
427,0.0015969780862233563
239,0.001573918800737683
10,0.001571873837607487
316,0.0015592770948754065
87,0.0015529056232513308
489,0.0015289565552699222
171,0.0015173972536870312
11,0.0015126562170674287
385,0.0015111533428258004
478,0.0015054644517525765
341,0.0014890933338659235
185,0.001476179696178133
364,0.0014714609076418375
286,0.0014681806465312063
140,0.0014656271877271814
278,0.0014574620456482246
187,0.0014520656591843087
374,0.0014503050736839507
