,"('camem_bert_base_embeddings', 1)","('distilled_bert_base_cased', 1)","('flaubert_base_cased', 1)","('flaubert_base_uncased', 1)","('flaubert_large_uncased', 1)","('flaubert_small_cased', 1)","('mbert_base_cased', 1)","('mbert_base_uncased', 1)","('xlmr_r_large', 1)","('xlm_roberta_base', 1)"
Dim 103,0.013055785523426037,0.008544357867581454,0.014884551258424129,0.016553402514910186,0.01280990903243584,0.03540293142866704,0.0,0.01252473305906257,6.344406858218462e-05,0.0
Dim 104,0.011635884824803195,0.008262100226931043,0.013868117715092314,0.015526285909512879,0.01351120719990886,0.01941643235481996,0.0,0.010667940821259006,7.214707313082816e-05,0.0
Dim 105,0.013981940439851024,0.009299323183970507,0.018825917817244946,0.014297380282671478,0.013555683981065549,0.014126076762921082,0.0,0.03924910475277946,7.011952183530747e-05,0.0
Dim 106,0.013337997586125652,0.007960093557391029,0.013241488631278895,0.01315509148218713,0.01382637436553911,0.015262014943372535,0.0,0.06445639697290043,8.062085119358706e-05,0.0
Dim 107,0.013805444369998003,0.007058581167987831,0.013122847032297718,0.016686724196415217,0.011788381251076799,0.012009805354397017,0.0,0.014787456644655366,9.194776278907304e-05,0.0
Dim 108,0.011793731021374414,0.007911432824622575,0.0126464798018186,0.024762041061189212,0.01818085207093209,0.014554143651541385,0.0,0.010684607434686393,0.000134541979727203,0.0
Dim 109,0.015089843422573263,0.01316157282123687,0.012476168744194402,0.01183508333026681,0.023457385787804663,0.013236899178867657,0.0,0.01399951106331923,9.213036237585621e-05,0.0
Dim 110,0.012719203798591731,0.008050856237123857,0.014702077774767031,0.024956930888675597,0.01455152928426237,0.021972158294054783,0.0,0.012938057464920678,0.00010351298916549709,0.0
Dim 111,0.012367199228598707,0.006725431948087335,0.016304652259013876,0.014184126440646795,0.021039323741126853,0.020324736462711386,0.0,0.010917074035893754,8.881393008905153e-05,0.0
Dim 112,0.01661291509283934,0.00674929911646956,0.03387385857637377,0.025098615075066104,0.011563479217408648,0.022515925945852777,0.0,0.01326434944942949,6.527308541609811e-05,0.0
Dim 113,0.026674769742783756,0.010499175636284157,0.01659871101081533,0.013247672298710968,0.0140143746072783,0.013485086418058612,0.0,0.012387770377429953,7.32769315952518e-05,0.0
Dim 114,0.01267778593846982,0.007401650317232868,0.024883921010307623,0.0114933251943439,0.010386594266045924,0.02738504378099437,0.0,0.020959435096432832,7.193122997369917e-05,0.0
Dim 115,0.016486567750005593,0.0130478723984028,0.012583798425542716,0.01168772946935578,0.01471081025729271,0.0240132861596369,0.0,0.010943306112338387,8.395291161077357e-05,0.0
Dim 116,0.01256092613476633,0.00959135278741026,0.013030452289927252,0.02089149994948584,0.012005680678788632,0.033980111266274524,0.0,0.02047941898971567,8.786662269086522e-05,0.0
Dim 117,0.015718546593927386,0.007155122854698623,0.02264321161818151,0.02190695598828675,0.01243435047985385,0.02305007299883101,0.0,0.010737132012220723,0.00011285473980411754,0.0
Dim 118,0.018481672116776697,0.011782341417771233,0.015193037349045663,0.022720713560307772,0.014065850177055958,0.01722665961001311,0.0,0.014960051176301998,8.027893496878361e-05,0.0
Dim 119,0.018266111400147306,0.008316369771373148,0.02809119207425042,0.020845723345700777,0.013729665962842792,0.013313767170711198,0.0,0.03901771440978489,8.094093283249186e-05,0.0
Dim 120,0.013266195515259363,0.009413977676066498,0.011029409639127226,0.01281467899348088,0.027713645071533538,0.019326370212623716,0.0,0.019660415153291932,7.530758650746713e-05,0.0
Dim 121,0.012073427613453052,0.007396366139172462,0.016648938004470273,0.021310474596131165,0.020999584335279497,0.024142433758787954,0.0,0.02024034286883568,0.00011820924197352342,0.0
Dim 122,0.020484320226324276,0.012660999783008688,0.013110860621979215,0.01383055625853363,0.011609437895172195,0.015406274541443183,0.0,0.02215356366540214,6.176276161457576e-05,0.0
Dim 123,0.015786822780009164,0.01656463384692515,0.01508063687435103,0.014488155188110153,0.01438344482693003,0.021790706087667807,0.0,0.01596619017013454,6.304198377745552e-05,0.0
Dim 124,0.0149760615195917,0.014615156328560539,0.017165125361669118,0.013567089654844338,0.011515323023409806,0.012356461060170295,0.0,0.014477644523923496,7.851013708893281e-05,0.0
Dim 125,0.014108936988877531,0.007750554048236475,0.01602153384023953,0.024336402778083195,0.0124575660146845,0.012615272564842121,0.0,0.029615557859475127,8.133308292902553e-05,0.0
Dim 126,0.015926780678858277,0.00762432435247838,0.012086772411941124,0.01269416040814123,0.012144778478473905,0.024822271758093147,0.0,0.012862456824376544,6.337048049773966e-05,0.0
Dim 127,0.020271604106153855,0.006748032700530449,0.012833412014980053,0.029002859656980778,0.018854264580196223,0.01199888485843911,0.0,0.012011067809369695,6.537656516309646e-05,0.0
Dim 128,0.012276102195286586,0.013008159107226025,0.012001877936940577,0.023692921900098265,0.017443413173326712,0.023584708457185116,0.0,0.024235482630782974,0.00011559504535146703,0.0
Dim 129,0.01396301692622138,0.00786113020217963,0.015883958994183055,0.01545241628442857,0.02850341227737828,0.015160454678222716,0.0,0.06600685895672796,9.83893940878907e-05,0.0
Dim 130,0.01260055095255286,0.008867113022793839,0.013983498407820177,0.02714003925012846,0.013781719837462871,0.023706722519539484,0.0,0.012099593718176913,8.290329638422744e-05,0.0
Dim 131,0.016106522246431096,0.010398146511211374,0.014888536794940491,0.012775949687135083,0.012878043698772277,0.012712958567553612,0.0,0.0149123764647959,0.0001192589423706184,0.0
Dim 132,0.01520525823648997,0.006447654729164291,0.013063692690164726,0.03234834392237575,0.01921253510003253,0.039046928773379196,0.0,0.013762572753809203,7.294549118758781e-05,0.0
Dim 133,0.012915415411368222,0.007767201121845543,0.011338360405036803,0.019293151768022054,0.017290507871599022,0.01558909704517217,0.0,0.013697192637877656,0.00010326020883016251,0.0
Dim 134,0.01254724080896738,0.01212794240421076,0.021258667839834138,0.011778756730946053,0.021174303993851253,0.010873353536990853,0.0,0.01766268628178593,7.701870302290165e-05,0.0
Dim 135,0.012249543508802724,0.013118015834417438,0.051061929195680866,0.014095621696116315,0.014184307660989699,0.0192244709889571,0.0,0.014863535818598663,8.368910433759685e-05,0.0
Dim 136,0.014462935292253242,0.008445301339526574,0.014896036532292111,0.01692506381822714,0.015536232631777726,0.02001730269003287,0.0,0.009997033307731013,6.821077505605831e-05,0.0
Dim 137,0.012281619424563264,0.009011819900995796,0.01355673479261245,0.011618828050001176,0.015973737467068677,0.012238687080673364,0.0,0.0626111715171144,0.00010145699736409542,0.0
Dim 138,0.014625165419661369,0.00865399679248611,0.012286374102107249,0.014263521517455165,0.011426827570968483,0.01773026872661424,0.0,0.016872973272283043,0.00010537371244094928,0.0
Dim 139,0.016502488508955505,0.008595587912196109,0.013236751687659908,0.04813763110220998,0.020927063626547154,0.014902468150318739,0.0,0.012959931777726415,0.0001183355106438149,0.0
Dim 140,0.013301174993975368,0.00820328097408485,0.018343524166346343,0.02337734772034448,0.027875386528682117,0.025455999933562942,0.0,0.013494794191390278,9.358903782396407e-05,0.0
Dim 141,0.01681783880127052,0.0072131101093725735,0.03156382896000641,0.013655743680337111,0.011613689264486403,0.025287725269608163,0.0,0.015013147938301793,0.0001299537039014309,0.0
Dim 142,0.023128198513872707,0.012886632697233235,0.03803395769393634,0.014341290583962588,0.02208877117474265,0.02107214360405282,0.0,0.01531988481523584,8.72161765771881e-05,0.0
Dim 143,0.01948416191921895,0.014268304041665205,0.011115096631146026,0.018824922007583542,0.011509253104533936,0.011875392146825578,0.0,0.01400397440807502,5.470498344033291e-05,0.0
Dim 144,0.06276806922921581,0.008023269244539923,0.018407542348253675,0.013729232598586638,0.013151199288217593,0.013811014309179475,0.0,0.014009053868895928,5.691864622963838e-05,0.0
Dim 145,0.013378899210873332,0.008293608642027496,0.012607076402083825,0.016038709053394128,0.019370215565558308,0.017523115326191413,0.0,0.021345229251302382,8.561955218740372e-05,0.0
Dim 146,0.013347632554756185,0.010520608503296475,0.03635433449527197,0.012665131206060097,0.025025863446128435,0.013574229576951154,0.0,0.016291310314175432,7.266907368607611e-05,0.0
Dim 147,0.04266328605798124,0.011055423251199684,0.017077929268821606,0.027572284985216147,0.012061693405282995,0.020361093743778022,0.0,0.012509656319403397,8.555879477596663e-05,0.0
Dim 148,0.01229108040203403,0.007872059284751187,0.013704794450366724,0.03990965662161297,0.024160260982806107,0.015291064874900858,0.0,0.03654618858741375,0.00013241173144012104,0.0
Dim 149,0.012164935320513947,0.007906041155586121,0.01191590425096289,0.01846626157987181,0.0122618465163371,0.02548079625316591,0.0,0.020850253239852498,9.098813928643534e-05,0.0
Dim 150,0.012430201208234827,0.010563527665376856,0.015181736427549494,0.02560318197094202,0.010844620498765346,0.02576493989880404,0.0,0.031303820148188714,9.783595817634991e-05,0.0
Dim 151,0.013739320271059346,0.007893854174908893,0.01252327336310348,0.020265329212917724,0.02746956192154363,0.030115170872165198,0.0,0.012488251789547515,4.8349693855508084e-05,0.0
Dim 152,0.01592553157891878,0.008323180424499732,0.02734235962743629,0.020553534656185257,0.011227298877195837,0.0139367864064017,0.0,0.010424259784391147,0.00012946124278518623,0.0
Dim 153,0.0120343576416789,0.007295083683787708,0.019311444722355794,0.015258126710789134,0.013118345339060882,0.03777758085317632,0.0,0.028311239126308386,8.48779665051704e-05,0.0
